Timestamp,Open,High,Low,Close,Volume,VolumeCurrency,VolumeCurrencyQuote,Confirm
2023-11-10 23:01:00,37391.5,37404.9,37391.5,37394.8,4.37259951,163530.963868962,163530.963868962,1
2023-11-10 23:02:00,37394.8,37394.8,37362,37374,2.60834899,97500.148927152,97500.148927152,1
2023-11-10 23:03:00,37378.9,37426.9,37378.9,37426,6.07108995,227106.375484355,227106.375484355,1
2023-11-10 23:04:00,37424.1,37424.7,37390.1,37416.5,4.64410726,173752.004583225,173752.004583225,1
2023-11-10 23:05:00,37417.7,37433.6,37401,37433.5,4.13912707,154897.636060636,154897.636060636,1
2023-11-10 23:06:00,37433.6,37452.5,37430.1,37445.8,5.803868,217307.08371917,217307.08371917,1
2023-11-10 23:07:00,37446.2,37447.1,37420.1,37426.9,25.06950732,938291.734513428,938291.734513428,1
2023-11-10 23:08:00,37424.4,37424.4,37396.1,37418.3,3.63706048,136049.881599477,136049.881599477,1
2023-11-10 23:09:00,37418.2,37418.3,37396.7,37398.6,3.72013548,139143.516405565,139143.516405565,1
2023-11-10 23:10:00,37398.7,37408.6,37384.9,37406,8.12531819,303888.549463932,303888.549463932,1
2023-11-10 23:11:00,37406.1,37406.1,37388.2,37405.8,1.35297269,50601.661846758,50601.661846758,1
2023-11-10 23:12:00,37405.9,37420,37396.1,37420,2.78752854,104260.304760529,104260.304760529,1
2023-11-10 23:13:00,37418.3,37419.8,37404.5,37417.5,1.85164524,69273.743119851,69273.743119851,1
2023-11-10 23:14:00,37417.6,37452.5,37417.3,37450.1,2.10235419,78697.392293623,78697.392293623,1
2023-11-10 23:15:00,37450,37478.7,37448.2,37461.8,8.04644224,301441.072916812,301441.072916812,1
2023-11-10 23:16:00,37461.8,37494,37461.8,37488.3,7.1084046,266477.714218929,266477.714218929,1
2023-11-10 23:17:00,37487.9,37494.1,37479.7,37479.8,6.02686874,225902.314181166,225902.314181166,1
2023-11-10 23:18:00,37479.7,37479.8,37424.3,37424.3,10.18131906,381358.611253215,381358.611253215,1
2023-11-10 23:19:00,37422.7,37427.5,37404.2,37422.5,4.11462829,153955.618667338,153955.618667338,1
2023-11-10 23:20:00,37422.2,37436,37400.2,37401.9,31.25595682,1169491.296353597,1169491.296353597,1
2023-11-10 23:21:00,37402,37402,37332.4,37338.4,47.38962579,1770900.35351537,1770900.35351537,1
2023-11-10 23:22:00,37338.2,37343.9,37323,37336,3.43938489,128401.620333126,128401.620333126,1
2023-11-10 23:23:00,37336,37342,37320.5,37331.7,2.47027702,92220.009562068,92220.009562068,1
2023-11-10 23:24:00,37331.7,37334.8,37306.8,37318,9.76954,364584.644968375,364584.644968375,1
2023-11-10 23:25:00,37318,37343.9,37317.9,37343.9,1.95445353,72963.09644796,72963.09644796,1
2023-11-10 23:26:00,37343.8,37343.8,37305.7,37331,4.14832267,154816.81581645,154816.81581645,1
2023-11-10 23:27:00,37331.1,37351.9,37326.1,37342,1.15691766,43204.257352018,43204.257352018,1
2023-11-10 23:28:00,37341.9,37349.9,37332.9,37334.4,1.43014957,53398.954677709,53398.954677709,1
2023-11-10 23:29:00,37334.3,37352.4,37322.2,37352.4,1.97185046,73624.187359477,73624.187359477,1
2023-11-10 23:30:00,37352.4,37384,37328.1,37331,11.23011104,419587.653860208,419587.653860208,1
2023-11-10 23:31:00,37334,37334,37309,37326.1,1.98987596,74266.571458102,74266.571458102,1
2023-11-10 23:32:00,37323.3,37334.3,37301,37301,2.05549259,76707.221627903,76707.221627903,1
2023-11-10 23:33:00,37300.9,37341.9,37300.9,37341.9,4.59483275,171469.310935527,171469.310935527,1
2023-11-10 23:34:00,37341,37353,37338.1,37343.8,4.74692291,177276.060417338,177276.060417338,1
2023-11-10 23:35:00,37343.8,37375.9,37343.8,37362.4,5.28352701,197428.521284923,197428.521284923,1
2023-11-10 23:36:00,37362.4,37369.4,37348.2,37356.1,2.80577744,104830.236226591,104830.236226591,1
2023-11-10 23:37:00,37356.2,37361.9,37330.1,37337.3,2.30172405,85971.256122518,85971.256122518,1
2023-11-10 23:38:00,37338.4,37351.6,37322.9,37346.5,2.75349221,102806.422412725,102806.422412725,1
2023-11-10 23:39:00,37346.5,37348.7,37334,37347.8,3.25326723,121490.351652862,121490.351652862,1
2023-11-10 23:40:00,37348,37359.6,37342.1,37345.9,5.27881922,197180.6016349,197180.6016349,1
